Time - Measured Velocity,Spool Rev/Sec - Measured Velocity,Time - Measured Diameter,Diameter (mm) - Measured Diameter,Time - Target Velocity,Spool Rev/Sec - Target Velocity,Time - Predicted Diameter,Diameter (mm) - Predicted Diameter,Time - Temperature,Diameter (mm) - Temperature,Time - Stage Direction,Spool Rev/Sec - Stage Direction
6081,1.03333,6081,0.354929,6081,1,6081,0.317624,6081,94.928,6081,1
6082,1.06667,6082,0.354929,6082,1,6082,0.317624,6082,94.928,6082,1
6083,1.03333,6083,0.354929,6083,1,6083,0.317624,6083,94.928,6083,1
6084,1.03333,6084,0.3686,6084,1,6084,0.317624,6084,94.928,6084,1
6085,0.966667,6085,0.38227,6085,1,6085,0.317624,6085,94.928,6085,1
6086,0.966667,6086,0.38227,6086,1,6086,0.317624,6086,94.928,6086,1
6087,1,6087,0.38227,6087,1,6087,0.317624,6087,94.928,6087,1
6088,1.03333,6088,0.38227,6088,1,6088,0.317624,6088,94.928,6088,1
6089,1.03333,6089,0.38227,6089,1,6089,0.317624,6089,94.928,6089,1
6090,1,6090,0.38227,6090,1,6090,0.317624,6090,94.928,6090,1
6091,1.03333,6091,0.38227,6091,1,6091,0.317624,6091,94.928,6091,1
6092,1,6092,0.38227,6092,1,6092,0.317624,6092,94.928,6092,1
6093,1,6093,0.38227,6093,1,6093,0.317624,6093,94.928,6093,1
6094,0.966667,6094,0.38227,6094,1,6094,0.317624,6094,94.928,6094,1
6095,0.9,6095,0.38227,6095,1,6095,0.317624,6095,94.928,6095,1
6096,0.9,6096,0.354929,6096,1,6096,0.317624,6096,94.928,6096,1
6097,0.933333,6097,0.354929,6097,1,6097,0.317624,6097,94.928,6097,1
6098,0.966667,6098,0.354929,6098,1,6098,0.317624,6098,94.928,6098,1
6099,1,6099,0.341259,6099,1,6099,0.317624,6099,94.928,6099,1
6100,1.03333,6100,0.341259,6100,1,6100,0.317624,6100,94.928,6100,1
6101,1.03333,6101,0.327588,6101,1,6101,0.317624,6101,94.928,6101,1
6102,1.03333,6102,0.327588,6102,1,6102,0.317624,6102,94.928,6102,1
6103,1,6103,0.300248,6103,1,6103,0.317624,6103,94.928,6103,1
6104,1,6104,0.300248,6104,1,6104,0.317624,6104,94.928,6104,1
6105,1,6105,0.300248,6105,1,6105,0.317624,6105,94.928,6105,1
6106,1.03333,6106,0.300248,6106,1,6106,0.317624,6106,94.928,6106,1
6107,1.03333,6107,0.286577,6107,1,6107,0.317624,6107,94.928,6107,1
6108,1.06667,6108,0.286577,6108,1,6108,0.317624,6108,94.928,6108,1
